Country,Score,Region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Libya,5.525,Middle east,1.044,1.3030000000000002,0.6729999999999999,0.416,0.133,0.152
Montenegro,5.523,Europe,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,5.4670000000000005,Asia & Pacific,0.493,1.098,0.718,0.389,0.23,0.14400000000000002
Croatia,5.432,Europe,1.155,1.266,0.914,0.29600000000000004,0.119,0.022
Hong Kong,5.43,Asia & Pacific,1.4380000000000002,1.277,1.122,0.44,0.258,0.287
Dominican Republic,5.425,South/Latin America,1.015,1.401,0.779,0.4970000000000001,0.113,0.101
Bosnia and Herzegovina,5.386,Europe,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,5.372999999999998,Europe,1.183,1.36,0.8079999999999999,0.195,0.083,0.106
Malaysia,5.339,Asia & Pacific,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,5.323,Europe,1.067,1.465,0.789,0.235,0.094,0.142
Greece,5.287000000000001,Europe,1.181,1.156,0.999,0.067,0.0,0.034
Mongolia,5.285,Asia & Pacific,0.948,1.531,0.667,0.317,0.235,0.038
North Macedonia,5.274,Europe,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,5.265,Africa,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,5.261,Asia & Pacific,0.551,1.4380000000000002,0.723,0.508,0.3,0.023
Turkmenistan,5.247000000000001,Asia & Pacific,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,5.211,Arab States,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,5.207999999999998,Arab States,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076
Azerbaijan,5.207999999999998,Asia & Pacific,1.043,1.147,0.769,0.35100000000000003,0.035,0.182
Lebanon,5.197,Middle east,0.987,1.224,0.815,0.21600000000000005,0.166,0.027000000000000003
Indonesia,5.192,Asia & Pacific,0.931,1.203,0.66,0.491,0.498,0.028
China,5.191,Asia & Pacific,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,5.175,Asia & Pacific,0.741,1.346,0.851,0.5429999999999999,0.147,0.073
Bhutan,5.082,Asia & Pacific,0.813,1.321,0.604,0.457,0.37,0.16699999999999998
Cameroon,5.044,Africa,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005
Bulgaria,5.011,Europe,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,4.996,Africa,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,4.944,Africa,0.569,0.8079999999999999,0.232,0.35200000000000004,0.154,0.09
Nepal,4.913,Asia & Pacific,0.446,1.226,0.677,0.439,0.285,0.08900000000000001
Jordan,4.9060000000000015,Middle east,0.8370000000000001,1.225,0.815,0.383,0.11,0.13
Benin,4.883,Africa,0.393,0.4370000000000001,0.397,0.349,0.175,0.08199999999999999
Congo (Brazzaville),4.812,Africa,0.6729999999999999,0.799,0.508,0.3720000000000001,0.105,0.093
Gabon,4.799,Africa,1.057,1.183,0.5710000000000001,0.295,0.043,0.055
Laos,4.796,Asia & Pacific,0.764,1.03,0.551,0.547,0.266,0.16399999999999998
South Africa,4.722,Africa,0.96,1.351,0.469,0.389,0.13,0.055
Albania,4.7189999999999985,Europe,0.947,0.848,0.8740000000000001,0.383,0.17800000000000002,0.027000000000000003
Venezuela,4.707,South/Latin America,0.96,1.4269999999999998,0.805,0.154,0.064,0.047
Cambodia,4.7,Asia & Pacific,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,4.6960000000000015,Arab States,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,4.681,Africa,0.45,1.134,0.5710000000000001,0.292,0.153,0.07200000000000001
Somalia,4.668,Arab States,0.0,0.698,0.268,0.5589999999999999,0.243,0.27
Namibia,4.6389999999999985,Africa,0.879,1.3130000000000002,0.477,0.401,0.07,0.056
Niger,4.628,Africa,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,4.587,Africa,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,4.559,Europe,0.85,1.055,0.815,0.28300000000000003,0.095,0.064
Iran,4.548,Middle east,1.1,0.8420000000000001,0.785,0.305,0.27,0.125
Guinea,4.534,Africa,0.38,0.8290000000000001,0.375,0.332,0.207,0.086
Georgia,4.519,Europe,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998
Gambia,4.516,Africa,0.308,0.939,0.428,0.382,0.269,0.16699999999999998
Kenya,4.509,Africa,0.512,0.983,0.581,0.431,0.3720000000000001,0.053
Mauritania,4.49,Arab States,0.57,1.167,0.489,0.066,0.106,0.08800000000000001
Mozambique,4.466,Africa,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,4.461,Arab States,0.921,1.0,0.815,0.16699999999999998,0.059,0.055
Bangladesh,4.456,Asia & Pacific,0.562,0.928,0.723,0.527,0.166,0.14300000000000002
Iraq,4.437,Middle east,1.043,0.98,0.574,0.241,0.14800000000000002,0.08900000000000001
Congo (Kinshasa),4.418,Africa,0.094,1.125,0.35700000000000004,0.269,0.212,0.053
Mali,4.39,Africa,0.385,1.105,0.308,0.327,0.153,0.052000000000000005
Sierra Leone,4.374,Africa,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,4.3660000000000005,Asia & Pacific,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,4.36,Asia & Pacific,0.71,1.181,0.555,0.525,0.5660000000000001,0.172
Chad,4.35,Africa,0.35,0.7659999999999999,0.192,0.174,0.198,0.078
Ukraine,4.332,Europe,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01
Ethiopia,4.2860000000000005,Africa,0.336,1.033,0.532,0.344,0.209,0.1
Swaziland,4.212,Africa,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135
Uganda,4.189,Africa,0.332,1.069,0.443,0.35600000000000004,0.252,0.06
Egypt,4.166,Middle east,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,4.107,Africa,0.578,1.058,0.426,0.431,0.247,0.087
Togo,4.085,Africa,0.275,0.5720000000000001,0.41,0.293,0.177,0.085
India,4.015,Asia & Pacific,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,3.975,Africa,0.073,0.922,0.443,0.37,0.233,0.033
Comoros,3.973,Arab States,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,3.933,Africa,0.274,0.916,0.555,0.14800000000000002,0.16899999999999998,0.041
Lesotho,3.802,Africa,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,3.775,Africa,0.046,0.447,0.38,0.22,0.17600000000000002,0.18
Zimbabwe,3.663,Africa,0.366,1.114,0.433,0.361,0.151,0.08900000000000001
Haiti,3.597,South/Latin America,0.32299999999999995,0.688,0.449,0.026,0.419,0.11
Botswana,3.488,Africa,1.041,1.145,0.5379999999999999,0.455,0.025,0.1
Syria,3.462,Asia & Pacific,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,3.41,Africa,0.191,0.56,0.495,0.443,0.218,0.08900000000000001
Yemen,3.38,Middle east,0.287,1.163,0.463,0.14300000000000002,0.108,0.077
Rwanda,3.334,Africa,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,3.2310000000000003,Africa,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,3.2030000000000003,Asia & Pacific,0.35,0.517,0.361,0.0,0.158,0.025
Central African Republic,3.083,Africa,0.026,0.0,0.105,0.225,0.235,0.035
South Sudan,2.853,Africa,0.306,0.575,0.295,0.01,0.202,0.091
